tu_id	speaker	start	end	parent_tu_id	text
322	PST004_trad	537.175	541.242	321	io solo lavoro, cioè facciamo a turno
416	PST004_trad	671.274	680.681	415	ah sì sì normale perché siamo in affitto quindi possiamo anche andare da un'altra parte perché la scuola e tutto
421	PST004_trad	681.743	685.210	420	dipende dalla zona quindi per me nessun problema
464	PST004_trad	756.533	757.694	463	quindi
531	PST004_trad	848.176	850.601	530	anche la scrittura troppo troppo
544	PST004_trad	863.203	864.754	543	capivo
552	PST004_trad	869.389	872.038	551	so che è simile quindi anche la scrittura
620	PST004_trad	957.743	958.116	619	(basta)
663	PST004_trad	1032.407	1033.035	662	quindi
731	PST004_trad	1118.358	1121.495	730	non dobbiamo mangiare fino a mezzogiorno
746	PST004_trad	1143.944	1148.671	745	solo questa è la tradizione, perché non lo so
777	PST004_trad	1178.938	1180.838	776	che abbiamo fatto, quindi
1212	PST004_trad	1833.410	1836.500	1211	perché così l'altra persona mi capisce per forza
1217	PST004_trad	1839.120	1845.292	1216	ancora di più perché parla una lingua che è molto diversa dalla lingua italiana quindi
1249	PST004_trad	1908.880	1912.578	1248	qui ci sono tante persone peruviane quindi
1252	PST004_trad	1914.390	1918.159	1251	per esempio qui c'è il parco dora
1263	PST004_trad	1932.700	1935.799	1262	sì sempre quindi
1272	PST004_trad	1947.460	1952.845	1271	siamo peruviani ma non parliamo così, con confidenza
1326	PST004_trad	2032.949	2034.780	1325	tanti peruviani quindi
1627	PST004_trad	2500.356	2503.710	1626	io non vado a nessuna
1629	PST004_trad	2504.158	2505.554	1628	non vado a nessun
1631	PST004_trad	2505.740	2507.603	1630	per fare sport no
1640	PST004_trad	2513.200	2514.427	1639	non ci penso neanche
1670	PST004_trad	2559.700	2563.448	1669	no ho fatto il diploma di contabilità
