tu_id	speaker	start	end	parent_tu_id	text
73	PST097_trad	328.298	332.509	72	famiglie dei giudei sefarditi che sono stati cacciati dalla spagna
605	PST097_trad	2202.272	2205.335	604	si riuniscono come, un preparano
693	PST097_trad	2513.885	2516.161	692	com'è che si chiami tesoro ((riferito alla figlia)) che aveva il megafono
795	PST097_trad	2931.282	2936.208	794	cercando il maschio fa fatto quattro figli, loro due sei, come fai
1195	PST097_trad	4434.135	4435.146	1194	degli zingari
1358	PST097_trad	4976.630	4979.557	1357	oh questa ragazza è incinta, questa ragazza questa
1386	PST0203_trad	5040.372	5042.109	1384	ma ubriaco perché ha batteria
1399	PST097_trad	5067.228	5073.493	1398	no? e e viene e ci dice metti le pile metti le pile, ossia, lavorare lavorare
1401	PST0203_trad	5070.747	5071.335	1400	
1456	PST097_trad	5197.123	5198.284	1455	è un altro peruviano
1500	PST097_trad	5278.924	5280.628	1499	casa mia è casa vostra
