tu_id	speaker	start	end	parent_tu_id	text
1	PST210_trad	0.337	1.623	0	dai chiedi a xx
10	PST210_trad	10.260	11.635	9	no perché io non devo venire nel video
13	PST064_trad	11.658	12.665	12	ah non devi venire?
16	PST203_trad	13.621	19.260	15	un attimo ancora per favore xx questo e metterne un altro se no non va
18	PST065_trad	19.306	22.736	17	perché l'obiettivo è che si veda il nome del ristorante
21	PST203_trad	22.847	28.126	20	perché se no non esce il nome del ristorante, perché stiamo facendo tutto questo se no
23	PST064_trad	29.270	30.482	22	nell'intervista?
28	PST210_trad	33.630	34.405	27	è un'intervista
30	PST065_trad	34.445	38.727	29	chiaro perché? perché lo metti xxx e noi siamo xx
34	PST065_trad	38.980	47.100	33	siamo stati intervistati per un progetto della regione piemonte che uscirà xx momento
42	PST064_trad	54.920	56.903	41	ci si approfitta di tutto di tutto si approfitta
50	PST065_trad	74.013	77.614	49	no solamente mi ha dato fastidio xxx
52	PST203_trad	75.916	79.481	51	questo per terra, questo sempre per terra
60	PST065_trad	87.019	88.034	59	perché ti chiamano?
62	PST064_trad	87.305	90.747	61	io gli ho mandato un messaggio che non avrei chiesto xxx
66	PST203_trad	94.441	98.537	65	@mary un pochino più a destra e io un pochino più x, così
70	PST064_trad	103.845	106.010	69	sì sì ora spegniamo il telefono
73	PST064_trad	107.780	108.460	72	toglila
81	PST203_trad	129.540	134.169	80	facciamo un'altra con anche il nome così facciamo un'altra ripresa
89	PST210_trad	170.500	171.240	88	cancellala
115	PST203_trad	217.728	218.124	114	pronto
481	PST064_trad	1194.089	1198.665	480	solo quello che era un accordo con tutta la comunità europea
605	PST064_trad	1466.760	1472.986	604	ci sarà gastronomia diversa faremo anche la griglia perché non si può fare qua
649	PST064_trad	1545.471	1548.638	648	questo vuol dire no? mangiare come se fossi a casa
