tu_id	speaker	start	end	parent_tu_id	text
33	PST104_trad	61.820	63.863	32	però comunque ti sei finalmente decisa a lasciarlo
37	PST104_trad	65.380	68.280	36	e questo è quello che ho fatto per jose
39	PST104_trad	68.691	70.781	38	lo devi fare
41	PST104_trad	71.796	74.427	40	fisicamente e anche
50	PSB105_trad	84.505	85.530	49	anche in perù
125	PST104_trad	198.655	200.195	124	allora facciamo così le man~
127	PSB105_trad	200.197	201.104	126	vorrei per la
134	PST104_trad	209.378	210.220	133	ti chiamano
136	PSB105_trad	210.520	215.400	135	tua cognata lavora da lunedì a domenica giusto?
138	PST104_trad	216.190	219.692	137	lì l'orario la prima volta che inizia è full time
140	PST104_trad	219.820	222.058	139	trentotto ore alla settimana
143	PST104_trad	223.570	225.480	142	due giorni di riposo però
145	PST104_trad	226.075	228.065	144	puoi riposare un lunedì e una domenica
147	PST104_trad	228.211	234.727	146	dipende dallo schema dell'orario che hanno perchè non possono xx hanno un modello uno schema
150	PST104_trad	234.880	239.000	149	dove ti mettono una settimana o così dal lunedì alla domenica a tempo pieno
152	PST104_trad	239.600	243.060	151	però ti può toccare un giorno di riposo un sabato o una domenica una volta al mese
155	PST104_trad	243.220	245.727	153	ti può toccare di riposare un martedì un giovedì
159	PST104_trad	247.560	248.661	158	no lei non fa
371	PST104_trad	668.719	669.187	370	cioè
486	PST104_trad	899.858	901.864	485	(è incluso il cibo)
