tu_id	speaker	start	end	parent_tu_id	text
24	PST086_trad	48.520	52.250	23	oh no la signora ecaterina tradisce il signor cosmin
27	PST086_trad	52.980	54.550	26	no tradisce il signor cosmin
32	PST087_trad	57.720	59.680	31	mo lo vado a dire al signor cosmin questo
35	PST086_trad	61.010	62.600	34	no il signor cosmin che fa
84	PST211_trad	145.688	150.550	83	perà un giorno vie~ andiamo veniamo noi viene o ecaterina o il signor cosmin
88	PST092_trad	151.114	152.884	86	il signor cosmin sicuramente non ci sarà
162	PST092_trad	268.411	275.467	161	è stato è stato bellissimo bullizzare e tra l'altro è arrivato in ritardo e si è pure messo a parlare con la signora ecaterina cioè lui sa che è in ritardo
208	PST085_trad	336.911	338.110	207	beh mi è caduto
210	PST087_trad	338.160	339.580	209	ha fatto cadere giù l'icona religiosa
214	PST086_trad	342.115	343.845	213	se ti vede la signora ecaterina ti picchia
216	PST092_trad	343.845	346.869	215	ma vai sai quante volte mi è caduta l'icona in testa madonna mia
225	PST085_trad	352.977	354.733	224	ma in realtà stava parlando con la signora ecaterina
289	PST086_trad	451.690	455.191	288	ehi siri chiama la signora ecaterina
291	PST092_trad	453.570	455.190	290	la signora ecaterina tantissimo
388	PST094_trad	588.673	591.212	387	sì così dicevo avete bisogno di luce?
416	PST085_trad	629.650	633.785	415	cioè la signora ecaterina che parla in italiano e lui che parla in rumeno
429	PST086_trad	642.340	644.164	428	niente signora ecaterina
439	PST086_trad	653.710	654.285	438	sì
476	PST085_trad	706.610	707.620	475	siete belle
488	PST092_trad	722.925	724.295	487	il signor cosmin l'ha detto
490	PST085_trad	723.560	725.160	489	ti deve insegnare che non sai ballare
495	PST086_trad	729.890	731.889	494	vedi che vado a dire al signor cosmin
497	PST085_trad	731.952	733.500	496	ih mamma mia
514	PST086_trad	753.606	755.712	513	no chi ha chi ha il signor popescu
518	PST086_trad	757.340	763.040	517	no so che lui rimane fino alle sei sette perché ha (lezione di) tamburello con eh
555	PST211_trad	815.595	819.138	554	l'intervista a questo professo~ il signor popescu
557	PST087_trad	816.830	818.370	556	al signor popescu
566	PST086_trad	829.570	830.567	565	dici buongiorno
569	PST086_trad	831.595	833.180	568	come vi siete ritrovati al centro
576	PST092_trad	841.231	844.411	575	le stesse le ste~ sono le stesse domande che abbiamo fatto alla signora ecaterina
579	PST086_trad	847.998	852.700	578	non è non si è spostato qui però lui ha conosciu~ cioè ha conosciuto la signora ecaterina dieci anni fa
582	PST092_trad	851.214	854.894	581	come sei venuto a conosce~ come sei venuto a conoscenza del centro
628	PST092_trad	929.243	935.058	627	domande per il signore popescu
635	PST092_trad	943.180	945.420	634	qual era già come sei venuto a conoscenza del centro
644	PST087_trad	962.970	967.890	643	secondo me sempre qualcuno che abbia la maglia del centro sarebbe l'ideale perché comunque magari dietro si
655	PST211_trad	975.570	978.227	654	fai tu le domande al signor popescu?
661	PST087_trad	982.180	984.310	660	perché non ha la maglia del centro
663	PST211_trad	982.600	985.606	662	perché ilaria ha già fatto con la signora ecaterina
671	PST092_trad	995.840	997.000	670	la signora ecaterina
673	PST085_trad	996.505	999.675	672	alla signora ecaterina volevo fare delle domande anche a lei
706	PST087_trad	1050.640	1053.880	705	nella sala di musica però non (.) in sala della signora lia
708	PST087_trad	1054.245	1057.285	707	non quella in cui abbiamo fatto l'intervista alla signora ecaterina sì
774	PST092_trad	1140.510	1144.918	773	come hai vissuto lo spost~ allora quelle che abbiamo fatto alla signora ecaterina che poi si sono moltiplicate
781	PST092_trad	1153.540	1155.170	779	com'è nato il centro
786	PST092_trad	1158.220	1161.120	785	come sono nate le attività del centro come hai
788	PST092_trad	1161.850	1164.060	787	perché hai deciso di far parte delle attività del centro
791	PST087_trad	1167.980	1169.490	790	perché il signor popescu di solito
794	PST087_trad	1171.300	1174.530	793	il signor popescu di solito fa insegna strumento
832	PST092_trad	1237.010	1240.067	831	altre domande eh come sono nate le attività del centro
864	PST092_trad	1280.846	1283.665	863	come hai deciso di fare parte delle attività del centro
875	PST092_trad	1296.450	1298.750	874	eh beh l'ho fatto con la signora ecaterina penso che
881	PST087_trad	1305.330	1307.080	880	ila ila collabora ancora con il pastore?
883	PST092_trad	1307.067	1308.250	882	boh non lo so
919	PST092_trad	1360.070	1361.860	918	far parte delle attività del centro
922	PST092_trad	1368.620	1370.526	921	del centro e delle sue attività
1071	PST085_trad	1599.970	1601.280	1070	mirela vieni qui
1076	PST092_trad	1606.540	1611.302	1075	quasi quasi ma se no scusa io dico al signor cosmin che oggi non la faccio e viene mendi si fa mendi
1087	PST085_trad	1627.920	1635.102	1086	eh sei quella che boh non lo so se no metti lei o metti qualcuno del centro vuoi mettere me del centro che sono qua da qualche mese?
