tu_id	speaker	start	end	parent_tu_id	text
2	PST015_trad	1.527	2.739	1	in nome di dio
6	PST015_trad	10.515	12.788	5	in nome di dio sono arrivato in italia
36	PST015_trad	213.694	220.709	35	però alla fine è andato tutto bene meno male grazie a dio ho lasciato i genitori sono arrivato qua
41	PST015_trad	271.417	274.919	40	uno sul pezzo (lit. uno capace nella testa) non mi veniva il termine italiano
92	PST015_trad	550.174	556.993	91	ci sono alcune parole che eh come si dice dist~ (.) distorto come lo possiamo chiam[are, n~]
161	PST015_trad	972.552	987.185	160	ad esempio in francia se hai di fronte un francese, se non ti esprimi megl~ se non ti esprimi bene nella lingua francese quello non ti guarda in faccia. cioè ti dice: e::h non so. non so.
217	PST015_trad	1213.604	1222.639	216	i miei i fratelli tutto quindi io non ho avuto come si dice eh non ho avuto la dolcezza dell'infanzia
264	PST015_trad	1427.168	1438.810	263	e domino i cavalli sono un cavaliere vado cioò sai quelle il gioco della fantasia il cavallo sì sai? io ce l'ho il cavallo a casa mia
310	PST015_trad	1600.566	1602.589	309	in nome di dio xxx
326	PST015_trad	1726.831	1728.271	325	in nome di dio
344	PST015_trad	1864.544	1875.980	343	le avrai accomunati facili ma non hai vinto la vita facile anzi ti sei solo come si dice non riesco a trovare la spiegazione voglio solo dirti che ti rovinerai da solo
425	PST015_trad	2157.892	2163.048	424	è una cosa xx ti distoglie dalla tua vita cosa vuol dire? [e:h un termine giu:sto (dimmi)]
